ts_iso,block,run_id,branch_sha,who,skew_s_before,upper_bringup_ts,station_nodes,container_participants,activation_ts,deactivation_ts,max_meas_offset_rad_json,faults,mem_used_gb_max,verdict,verdict_reason,log_path,notes
2026-09-02T11:07:14+02:00,T1a,t1a_20260902_110714,62b97a6,julian,0.031,2026-09-02T11:03,none,0 (native pixi participant; set-up C),2026-09-02T11:08:50 (t~96s during wiggle),t~178.6 (meas frozen),"{""right"":{""j6"":0.0349,""j7"":0.0162},""left"":{""j6"":0.0,""j7"":0.0}}",0,5,right FOLLOWED / left HELD,"199 rows t=0..199.8; first displaced row t=97.9; window t=100-185: corr(cmd,Rj6)=+0.70 in phase, Rj6 swing 0.033 on mean -0.017 (activation captured during wiggle -> standing offset, U-4), Rj7 swing 0.011 mean -0.0125; js_hz ~1100; 0 faults 0 rejects; 4 controller managers throughout",outputs/rig/munich_2026-09-01/t1a_20260902_110714/t1a_110714.log,"native make sine-probe-real PY=pixi python (first end-to-end DDS evidence for set-up C); Float32 gripper hold accepted by robotiq client; CSV lost to Ctrl+C-through-tee (BrokenPipe) - rows rebuilt from log into t1a_110714_from_log.csv; operator activated at t~96 instead of inside the 40 s hold"
2026-09-02T11:15:08+02:00,T1b(both arms),t1both_20260902_111508,62b97a6,julian,0.031,2026-09-02T11:03,none,0 (native pixi participant; set-up C),inside the 40 s hold (first displaced row t=41.4 = wiggle start; max|meas| during hold 0.0000),t~203.8 (meas frozen),"{""left"":{""j6"":0.0196,""j7"":0.0035},""right"":{""j6"":0.0184,""j7"":0.0015}}",0,5,left FOLLOWED / right FOLLOWED,"301 rows t=0..302.6; window t=44-203: corr(cmd,Lj6)=+0.79 Rj6=+0.79 in phase, swing 0.036 on both, mean 0.001/-0.000 (NO standing offset: activation inside the hold -> U-4 = activation delta capture, confirmed); j7 swing 0.003 both sides (noise at k=20, no phase evidence); js_hz ~1100; 0 faults 0 rejects; 4 controller managers",outputs/rig/munich_2026-09-01/t1both_20260902_111508/t1both_111508.log,"CSV lost again: Ctrl+C -> rclpy default SIGINT handler shut the context down before the probe's finally (ros-spin RCLError, publish_arms 'context is invalid', safe_stop skipped, make exit 1); arms were already deactivated so no effect; rows rebuilt from log. Fix: rclpy.init(signal_handler_options=NO) in ros_session (in progress)"
2026-09-02T11:23:32+02:00,T1c(grippers span 0.3),t1c_20260902_112332,62b97a6,julian,0.031,2026-09-02T11:03,none,0 (native pixi participant; set-up C),inside the 40 s hold,t~166.4 (meas frozen),"{""right"":{""j6"":0.0172},""left"":{""j6"":0.0}}",0,5,arm: right FOLLOWED / left HELD; gripper: UNRESOLVED,"188 rows t=0..188.6; grip cmd cycled 1.00..0.70 (10 s period) from t=40; measured gripper open-fraction L=R=1.00 in EVERY row; operator saw fingers move only barely; companion log +5756 'Received & accepted new action goal' (one per 20 Hz tick); 0 faults 0 rejects 4 controller managers",outputs/rig/munich_2026-09-01/t1c_20260902_112332/t1c_112332.log,"Ctrl+C at t=188.6 (1.4 s before natural end) -> context invalid -> CSV lost again, rows rebuilt from log; gripper feedback/command path under investigation (goal flooding vs feedback conversion); second run t1c_112653 aborted at t=5 by operator to change span"
2026-09-02T11:28:22+02:00,T1c(grippers span 0.7),t1c_20260902_112822,62b97a6,julian,0.031,2026-09-02T11:03,none,0 (native pixi participant; set-up C),inside the hold,operator deactivated then Ctrl+C,"see log",0,5,gripper: NOT MOVING,"grip cmd cycled 1.00..0.30; operator: grippers do not close at all; measured open-fraction 1.00 flat; publisher sends 30.0..100.0 percent (C.gripper_width_percent) at 20 Hz + 10 Hz keep-alive republish -> one Robotiq action goal per tick (companion log 'Received & accepted new action goal', results position=0.0)",outputs/rig/munich_2026-09-01/t1c_20260902_112822/t1c_112822.log,"goal-flood vs driver-semantics under investigation; CSV lost to Ctrl+C (context) again"
2026-09-02T11:57:41+02:00,T1c(grippers span 0.7 after unit fix),t1c_20260902_115741,f049584,julian,0.030,2026-09-02T11:55,none,0 (native pixi participant; set-up C),arms NOT activated (gripper-only run),n/a,"{""right"":{""j6"":0.0},""left"":{""j6"":0.0}}",0,5,gripper: FOLLOWED both sides,"189 rows; grip cmd 1.00..0.30 (10 s period); measured open-fraction follows (see CSV): cmd 0.31 -> L/R 0.14, cmd 0.98 -> 0.95; feedback 100 Hz both sides; companion goals +1782 over 150 s with dedup (vs one per tick before), reached_goal=True 651, non-zero result positions; 0 faults 4 CMs; CSV + summary written on natural end",outputs/rig/munich_2026-09-01/t1c_20260902_115741/t1c_115741.log,"driver maps cmd x -> knuckle (1-x) rad: measured_open ~ (x-0.2)/0.8; cmd 0.2 = fully closed = corpus min 0.2025; summary prints verdict lines twice (cosmetic); rclpy 'Destroyable' warnings at shutdown (cosmetic)"
2026-09-02T12:04:15+02:00,T1 runner-path (probe --activate-arms),t1r_20260902_120415,f049584,julian,0.030,2026-09-02T11:55,none,0 (native pixi participant; set-up C),none (exited before activation),n/a,"{}",0,5,NOT RUN,"ModuleNotFoundError: No module named 'controller_manager_msgs' at camelo/ros/arm_activation.py:77 — missing in the station pixi env AND in camelo-ebim/ros:latest (docker run --network none import test); the runner's activation choreography (--activate-arms / --wait-for-activation) has never been runnable on the rig; failure was safe: exit before any publish, 4 CMs, 0 faults",outputs/rig/t1r_120415.log (on ebimHP),"fix: pixi add ros-humble-controller-manager-msgs (site env) or Dockerfile + rebuild; branch gets the Dockerfile change + preflight import check"
2026-09-02T12:07:02+02:00,T1b(joint-1 direction probe),t1bj1_20260902_120702,f049584,julian,0.030,2026-09-02T11:55,none,0 (native pixi participant; set-up C),inside the 40 s hold (hold max|meas| 0.0000; first displaced row t=41.4),t~88.8 (meas frozen; operator deactivate),"{""right"":{""j1"":0.0173},""left"":{""j1"":0.0}}",0,5,right FOLLOWED IN PHASE -> identity publish correct -> --arm-command-frame robot stays default,"100 rows; wiggle window n=48: corr(cmd, meas R j1)=+0.922, cmd +0.0197/-0.0183 -> meas +0.0128/-0.0152 every cycle, swing 0.030 of 0.040 cmd, mean -0.002; left 0.0000; 0 faults 0 rejects 4 CMs; probe ended by itself at t=100 with CSV+summary; final drift right 0.0112 (arm parked where deactivated, manual path)",outputs/rig/munich_2026-09-01/t1bj1_20260902_120702/t1bj1_120702.log,"U-3 answered: the controller's dir=-1 on j1 is NOT in force for our identity publish; corpus robot-frame actions can be published verbatim"
2026-09-02T12:29:06+02:00,T1 runner-path (probe --activate-arms; container form),t1r_20260902_122906,b1d33ff (code) / image 12:17,julian,0.03 (re-synced 12:27),2026-09-02T12:27,none,1 container participant (Jazzy Fast DDS 2.14.6 / rmw 8.4.4),none — switch_controller/list_controllers never answered (5 s x2 each; activate + deactivate),n/a,"{""right"":{""j6"":0.0}}",0,5,FAILED — services do not cross Jazzy<->Humble (R-40),"services DISCOVERED but no request/reply; TimeoutError 'not active within 10s ... refusal not liveness gap'; teardown attempted deactivate (no answer) then safe_stop; companion: 4 CMs, 0 faults, 0 rejects, both impedance controllers still inactive, no switch lines -> arm never moved; topics (arm state) did cross",outputs/rig/t1r_122906.log (on ebimHP),"first direct evidence for 16b hypothesis 3 (version skew) on the services plane; runner activation must run from a Humble-generation participant: native pixi (needs pixi add ros-humble-controller-manager-msgs) or set-up B Humble image (being drafted)"
2026-09-02T12:37:18+02:00,T1 runner-path (probe --activate-arms; native after pixi add controller-manager-msgs),t1r_20260902_123718,0cf9ad4 (code = b1d33ff),julian,<0.05 (synced 12:27),2026-09-02T12:27,none,0 (native pixi participant; Humble 2.6.10),self: switch_controller activate ok (BEST_EFFORT) at t=1.01 s inside the hold; offset(t_act)=0,self: deactivate ok + list_controllers confirmed at t=113.1 (operator Ctrl+C),"{""right"":{""j6"":0.0176,""j7"":0.0014},""left"":{""j6"":0.0,""j7"":0.0}}",0,5,right FOLLOWED via the runner's ArmControllers — T1 runner-path criterion MET,"113 rows; hold max|meas| 0.0000; window t=44-83: corr(cmd,Rj6)=+0.81, swing 0.034, mean -0.0003; services answered immediately from a Humble-generation participant (contrast R-40); 0 faults 0 rejects 4 CMs; CSV written; summary.txt missing because a 2nd Ctrl+C hit the 'settle' teardown step after deactivation (fix in progress)",outputs/rig/munich_2026-09-01/t1r_20260902_123718/t1r_123718.log,"station env change: pixi add ros-humble-controller-manager-msgs (pixi.toml/lock modified in ~/teleoperation/station); Humble image camelo-ebim/ros-humble built 12:4x, import smoke ok (set-up B available, untested against the companion)"
2026-09-02T13:00:21+02:00,T2 step 2a (native participant + head camera; set-up C),t2s2a_20260902_130021,de45329 (code 020a0c2 not yet deployed),julian,n/a,2026-09-02T12:27 (arms up; nothing activated),"realsense2_camera_node x2 + zed_open_capture_ros (pixi run cameras, up since 12:42)",0 containers; 1 native pixi participant + 1 spawned camera worker,n/a,n/a,"{}",0,5.8,PASS — head camera DISCOVERED + INGESTED natively,"camera head topic=/head_camera/zed_node/rgb/color/rect/image reliability=1 durability=2; image_head 18.4 Hz (drain ceiling ~20); image (376,672,3) uint8 = ZED at VGA (contract/corpus 720x1280); joint_states 1081 Hz per arm, clock 49.8 Hz; 17/37 finite; station RSS unchanged during and right after (66/67/45/101 MB), MEM 5.77 GB; U-2 answered for set-up C",outputs/rig/t2s2a_130021.log (on ebimHP),"check_obs exit 1 by construction (odom + min_finite); camera worker traceback at exit: 'failed to initialize wait set: context not valid' + Destroyable warning = worker spin vs parent shutdown race (fix queued); 3-min RSS soak pending"
